Region,Year,Gender,Nationality,Population estimates
Al-Jouf,"2,013",Male,Non-Saudi,"111,489"
Riyadh,"2,022",Male,Non-Saudi,"3,140,295"
Al-Jouf,"2,010",Male,Saudi,"170,202"
Hail,"2,010",Female,Saudi,"197,414"
Qaseem,"2,019",Female,Saudi,"433,415"
Aseer,"2,012",Male,Saudi,"564,774"
Riyadh,"2,021",Female,Non-Saudi,"978,731"
Qaseem,"2,014",Female,Non-Saudi,"79,708"
Makkah,"2,010",Female,Non-Saudi,"1,076,909"
Aseer,"2,018",Male,Non-Saudi,"455,278"
Aseer,"2,022",Female,Non-Saudi,"95,054"
Madinah,"2,018",Female,Non-Saudi,"187,483"
Northern Region,"2,010",Male,Non-Saudi,"48,409"
Jazan,"2,017",Female,Saudi,"447,014"
Makkah,"2,018",Female,Non-Saudi,"1,103,527"
Makkah,"2,014",Female,Non-Saudi,"1,163,579"
Hail,"2,021",Male,Non-Saudi,"160,119"
Najran,"2,015",Female,Saudi,"169,708"
Aseer,"2,016",Male,Saudi,"626,115"
Qaseem,"2,021",Female,Saudi,"455,121"
Aseer,"2,010",Male,Saudi,"541,748"
Eastern Region,"2,014",Male,Saudi,"1,242,148"
Madinah,"2,014",Male,Non-Saudi,"568,795"
Northern Region,"2,010",Female,Non-Saudi,"14,304"
Tabouk,"2,010",Female,Non-Saudi,"34,667"
Najran,"2,021",Male,Saudi,"193,787"
Makkah,"2,021",Male,Saudi,"2,027,109"
Jazan,"2,010",Male,Saudi,"376,086"
Najran,"2,021",Female,Non-Saudi,"43,156"
Najran,"2,010",Female,Saudi,"150,396"
Tabouk,"2,015",Female,Saudi,"270,975"
Aseer,"2,014",Male,Non-Saudi,"421,694"
Makkah,"2,015",Female,Non-Saudi,"1,185,309"
Al-Jouf,"2,021",Male,Non-Saudi,"113,799"
Al-Jouf,"2,018",Female,Saudi,"202,611"
Makkah,"2,011",Female,Non-Saudi,"1,094,964"
Najran,"2,018",Male,Non-Saudi,"141,644"
Tabouk,"2,013",Female,Non-Saudi,"39,200"
Jazan,"2,017",Male,Saudi,"444,104"
Al-Jouf,"2,018",Male,Non-Saudi,"120,319"
Al-Jouf,"2,018",Female,Non-Saudi,"28,140"
Qaseem,"2,014",Male,Saudi,"382,811"
Al-Baha,"2,011",Male,Non-Saudi,"64,299"
Madinah,"2,016",Male,Non-Saudi,"666,678"
Al-Baha,"2,019",Male,Saudi,"114,395"
Jazan,"2,010",Male,Non-Saudi,"218,070"
Madinah,"2,022",Male,Saudi,"672,749"
Al-Jouf,"2,020",Male,Non-Saudi,"124,328"
Riyadh,"2,020",Female,Non-Saudi,"1,052,826"
Madinah,"2,020",Male,Saudi,"644,698"
Riyadh,"2,015",Male,Saudi,"1,903,165"
Riyadh,"2,020",Male,Saudi,"2,144,437"
Qaseem,"2,020",Female,Saudi,"444,914"
Northern Region,"2,017",Female,Saudi,"121,315"
Northern Region,"2,017",Female,Non-Saudi,"21,979"
Qaseem,"2,020",Female,Non-Saudi,"83,533"
Aseer,"2,015",Female,Saudi,"617,900"
Riyadh,"2,015",Female,Saudi,"1,862,723"
Northern Region,"2,017",Male,Non-Saudi,"79,659"
Al-Baha,"2,020",Female,Non-Saudi,"17,817"
Jazan,"2,015",Female,Saudi,"426,901"
Tabouk,"2,017",Male,Non-Saudi,"204,779"
Jazan,"2,015",Male,Non-Saudi,"319,148"
Tabouk,"2,020",Male,Saudi,"308,645"
Madinah,"2,015",Female,Non-Saudi,"201,428"
Makkah,"2,017",Female,Saudi,"1,838,533"
Al-Jouf,"2,020",Female,Non-Saudi,"31,070"
Hail,"2,017",Female,Non-Saudi,"39,437"
Jazan,"2,013",Female,Saudi,"403,310"
Najran,"2,010",Male,Non-Saudi,"91,283"
Najran,"2,022",Female,Non-Saudi,"45,059"
Al-Baha,"2,022",Male,Non-Saudi,"71,375"
Hail,"2,011",Male,Non-Saudi,"114,620"
Najran,"2,018",Female,Saudi,"181,060"
Eastern Region,"2,016",Female,Saudi,"1,256,995"
Jazan,"2,014",Male,Non-Saudi,"290,529"
Aseer,"2,022",Female,Saudi,"728,200"
Riyadh,"2,011",Female,Non-Saudi,"827,255"
Tabouk,"2,010",Male,Non-Saudi,"119,759"
Al-Baha,"2,022",Female,Saudi,"128,405"
Tabouk,"2,012",Female,Non-Saudi,"36,931"
Riyadh,"2,016",Male,Non-Saudi,"3,406,281"
Riyadh,"2,016",Female,Saudi,"1,909,357"
Aseer,"2,011",Female,Saudi,"555,911"
Najran,"2,012",Male,Saudi,"157,421"
Najran,"2,021",Female,Saudi,"193,396"
Tabouk,"2,019",Female,Non-Saudi,"39,840"
Northern Region,"2,013",Male,Non-Saudi,"66,125"
Najran,"2,013",Female,Non-Saudi,"36,829"
Makkah,"2,013",Male,Saudi,"1,656,215"
Eastern Region,"2,014",Female,Saudi,"1,192,754"
Eastern Region,"2,014",Female,Non-Saudi,"380,508"
Qaseem,"2,010",Female,Saudi,"347,561"
Riyadh,"2,014",Male,Saudi,"1,850,887"
Madinah,"2,011",Male,Non-Saudi,"465,548"
Al-Baha,"2,018",Female,Saudi,"116,010"
Qaseem,"2,010",Male,Saudi,"347,002"
Makkah,"2,017",Male,Non-Saudi,"3,149,081"
Eastern Region,"2,011",Female,Saudi,"1,101,214"
Makkah,"2,015",Male,Non-Saudi,"3,113,295"
Makkah,"2,010",Female,Saudi,"1,535,534"
Hail,"2,012",Female,Saudi,"206,313"
Najran,"2,010",Female,Non-Saudi,"31,040"
Aseer,"2,011",Male,Saudi,"552,283"
Al-Baha,"2,022",Female,Non-Saudi,"16,511"
Northern Region,"2,021",Female,Saudi,"132,401"
Najran,"2,011",Female,Non-Saudi,"32,654"
Jazan,"2,013",Female,Non-Saudi,"101,783"
Al-Jouf,"2,021",Male,Saudi,"216,252"
Qaseem,"2,010",Female,Non-Saudi,"71,249"
Tabouk,"2,021",Male,Non-Saudi,"185,185"
Northern Region,"2,015",Male,Non-Saudi,"75,733"
Al-Baha,"2,011",Female,Non-Saudi,"16,521"
Makkah,"2,010",Male,Non-Saudi,"2,196,122"
Aseer,"2,018",Female,Saudi,"661,721"
Najran,"2,019",Female,Non-Saudi,"40,726"
Al-Baha,"2,021",Male,Non-Saudi,"66,075"
Najran,"2,011",Male,Non-Saudi,"102,120"
Tabouk,"2,016",Male,Saudi,"282,196"
Jazan,"2,022",Male,Non-Saudi,"301,686"
Hail,"2,021",Male,Saudi,"259,504"
Makkah,"2,013",Female,Non-Saudi,"1,155,014"
Makkah,"2,016",Male,Non-Saudi,"3,279,865"
Najran,"2,022",Female,Saudi,"197,308"
Madinah,"2,019",Male,Non-Saudi,"564,196"
Aseer,"2,013",Female,Non-Saudi,"92,810"
Aseer,"2,017",Female,Non-Saudi,"100,683"
Hail,"2,017",Male,Non-Saudi,"176,191"
Aseer,"2,013",Male,Non-Saudi,"409,937"
Madinah,"2,012",Female,Saudi,"532,216"
Najran,"2,013",Male,Non-Saudi,"125,778"
Qaseem,"2,017",Female,Non-Saudi,"84,205"
Najran,"2,016",Female,Non-Saudi,"42,172"
Jazan,"2,021",Male,Saudi,"488,180"
Tabouk,"2,013",Male,Non-Saudi,"166,450"
Aseer,"2,018",Female,Non-Saudi,"93,991"
Madinah,"2,011",Male,Saudi,"517,557"
Najran,"2,015",Male,Saudi,"170,333"
Najran,"2,020",Male,Saudi,"190,039"
Madinah,"2,021",Female,Non-Saudi,"178,266"
Tabouk,"2,019",Male,Non-Saudi,"184,034"
Tabouk,"2,020",Female,Saudi,"303,140"
Qaseem,"2,016",Male,Saudi,"402,308"
Madinah,"2,012",Male,Non-Saudi,"505,254"
Jazan,"2,016",Male,Saudi,"435,600"
Al-Baha,"2,019",Female,Non-Saudi,"16,230"
Al-Jouf,"2,016",Male,Non-Saudi,"134,730"
Al-Jouf,"2,011",Female,Non-Saudi,"22,938"
Al-Jouf,"2,012",Male,Non-Saudi,"100,442"
Northern Region,"2,022",Male,Saudi,"136,267"
Eastern Region,"2,012",Female,Saudi,"1,127,648"
Al-Baha,"2,012",Male,Saudi,"96,365"
Eastern Region,"2,013",Male,Saudi,"1,204,401"
Eastern Region,"2,016",Female,Non-Saudi,"408,900"
Riyadh,"2,018",Male,Non-Saudi,"3,032,784"
Jazan,"2,022",Male,Saudi,"498,893"
Aseer,"2,014",Male,Saudi,"596,354"
Northern Region,"2,012",Female,Saudi,"107,497"
Makkah,"2,011",Male,Non-Saudi,"2,401,646"
Riyadh,"2,018",Female,Saudi,"1,996,692"
Madinah,"2,011",Female,Non-Saudi,"186,145"
Hail,"2,021",Female,Saudi,"257,139"
Madinah,"2,022",Female,Non-Saudi,"180,469"
Northern Region,"2,022",Female,Saudi,"135,091"
Madinah,"2,019",Female,Non-Saudi,"179,006"
Makkah,"2,020",Male,Non-Saudi,"2,862,658"
Al-Baha,"2,016",Male,Non-Saudi,"85,946"
Al-Baha,"2,017",Male,Saudi,"109,065"
Najran,"2,011",Male,Saudi,"154,018"
Eastern Region,"2,013",Male,Non-Saudi,"1,524,634"
Al-Jouf,"2,012",Male,Saudi,"177,107"
Al-Baha,"2,017",Male,Non-Saudi,"82,134"
Al-Baha,"2,011",Female,Saudi,"96,899"
Qaseem,"2,011",Female,Non-Saudi,"73,064"
Makkah,"2,018",Female,Saudi,"1,882,931"
Eastern Region,"2,018",Female,Saudi,"1,314,470"
Jazan,"2,011",Female,Saudi,"383,658"
Hail,"2,011",Male,Saudi,"203,902"
Jazan,"2,011",Male,Non-Saudi,"239,968"
Riyadh,"2,017",Male,Non-Saudi,"3,310,906"
Al-Jouf,"2,017",Male,Non-Saudi,"131,154"
Al-Baha,"2,019",Female,Saudi,"119,001"
Jazan,"2,016",Male,Non-Saudi,"338,452"
Al-Jouf,"2,016",Female,Saudi,"194,629"
Aseer,"2,016",Female,Saudi,"633,035"
Al-Jouf,"2,010",Female,Non-Saudi,"21,919"
Northern Region,"2,020",Male,Non-Saudi,"76,801"
Riyadh,"2,021",Male,Saudi,"2,192,321"
Northern Region,"2,019",Male,Non-Saudi,"70,898"
Jazan,"2,013",Male,Saudi,"402,666"
Eastern Region,"2,011",Male,Saudi,"1,143,956"
Riyadh,"2,011",Male,Saudi,"1,704,831"
Northern Region,"2,011",Male,Non-Saudi,"53,994"
Qaseem,"2,013",Female,Saudi,"373,193"
Jazan,"2,020",Male,Non-Saudi,"303,558"
Hail,"2,020",Male,Saudi,"254,097"
Tabouk,"2,018",Male,Non-Saudi,"189,875"
Aseer,"2,019",Female,Non-Saudi,"90,837"
Northern Region,"2,011",Female,Saudi,"105,154"
Hail,"2,012",Male,Non-Saudi,"126,617"
Northern Region,"2,013",Female,Saudi,"110,175"
Al-Jouf,"2,022",Female,Non-Saudi,"30,230"
Qaseem,"2,017",Female,Saudi,"413,455"
Hail,"2,021",Female,Non-Saudi,"38,660"
Jazan,"2,020",Female,Non-Saudi,"107,309"
Eastern Region,"2,017",Female,Non-Saudi,"416,253"
Aseer,"2,022",Male,Saudi,"716,488"
Najran,"2,016",Female,Saudi,"173,674"
Eastern Region,"2,021",Female,Non-Saudi,"397,085"
Makkah,"2,017",Female,Non-Saudi,"1,196,162"
Makkah,"2,013",Male,Non-Saudi,"2,827,707"
Al-Baha,"2,013",Male,Saudi,"98,881"
Madinah,"2,022",Male,Non-Saudi,"605,368"
Northern Region,"2,018",Female,Non-Saudi,"21,155"
Qaseem,"2,010",Male,Non-Saudi,"268,943"
Madinah,"2,020",Female,Saudi,"650,123"
Aseer,"2,010",Male,Non-Saudi,"300,239"
Northern Region,"2,015",Female,Non-Saudi,"19,954"
Al-Jouf,"2,019",Male,Non-Saudi,"115,416"
Riyadh,"2,015",Male,Non-Saudi,"3,194,046"
Hail,"2,015",Male,Saudi,"226,447"
Qaseem,"2,020",Male,Saudi,"441,421"
Hail,"2,018",Female,Non-Saudi,"37,410"
Al-Jouf,"2,019",Male,Saudi,"207,354"
Jazan,"2,017",Male,Non-Saudi,"327,137"
Makkah,"2,011",Male,Saudi,"1,573,573"
Hail,"2,019",Female,Saudi,"245,264"
Northern Region,"2,016",Female,Saudi,"118,914"
Tabouk,"2,012",Female,Saudi,"250,276"
Eastern Region,"2,013",Female,Non-Saudi,"369,982"
Qaseem,"2,021",Male,Non-Saudi,"306,081"
Aseer,"2,016",Male,Non-Saudi,"504,117"
Al-Jouf,"2,011",Female,Saudi,"172,724"
Eastern Region,"2,011",Female,Non-Saudi,"336,571"
Tabouk,"2,016",Male,Non-Saudi,"208,084"
Najran,"2,020",Female,Saudi,"189,598"
Qaseem,"2,012",Female,Saudi,"363,544"
Riyadh,"2,012",Female,Saudi,"1,711,976"
Aseer,"2,016",Female,Non-Saudi,"99,789"
Makkah,"2,016",Female,Saudi,"1,798,091"
Najran,"2,010",Male,Saudi,"151,112"
Eastern Region,"2,019",Female,Saudi,"1,346,677"
Tabouk,"2,022",Female,Saudi,"315,897"
Aseer,"2,010",Female,Saudi,"544,163"
Eastern Region,"2,018",Male,Saudi,"1,366,995"
Jazan,"2,019",Male,Non-Saudi,"283,798"
Al-Jouf,"2,022",Female,Saudi,"219,905"
Tabouk,"2,021",Male,Saudi,"315,045"
