Rank,US City,US State,Population 2024,Population 2020,Annual Change,Density (/mile2),Area (mile2)
63,Corpus Christi,Texas,316105,318065,-0.0015,1948,162.28
64,Cincinnati,Ohio,311595,309601,0.0016,3999,77.91
65,Santa Ana,California,310304,311244,-0.0008,11335,27.38
66,Greensboro,North Carolina,304279,296345,0.0066,2273,133.86
67,Pittsburgh,Pennsylvania,303413,302779,0.0005,5479,55.38
68,Newark,New Jersey,303065,310645,-0.0062,12552,24.14
69,St. Paul,Minnesota,301380,311140,-0.008,5799,51.97
70,Durham,North Carolina,300100,284444,0.0132,2570,116.75
71,Lincoln,Nebraska,295798,291633,0.0035,2959,99.97
72,North Las Vegas,Nevada,292623,261214,0.0276,2778,105.32
73,Jersey City,New Jersey,291559,291949,-0.0003,19769,14.75
74,Plano,Texas,291450,286408,0.0043,4065,71.7
75,Anchorage,Alaska,284469,290893,-0.0056,167,1707.0
76,Madison,Wisconsin,282005,275204,0.0061,3394,83.09
77,Chandler,Arizona,281107,277345,0.0034,4283,65.64
78,Reno,Nevada,278226,264981,0.012,2553,108.99
79,Gilbert,Arizona,277490,269173,0.0076,4041,68.66
80,St. Louis,Missouri,275506,300496,-0.0222,4464,61.72
81,Chula Vista,California,273841,275809,-0.0018,5517,49.64
82,Buffalo,New York,273720,277551,-0.0035,6779,40.38
83,Fort Wayne,Indiana,271865,264380,0.0069,2457,110.63
84,Lubbock,Texas,269833,258013,0.0111,1901,141.96
85,St. Petersburg,Florida,264982,259266,0.0054,4287,61.8
86,Toledo,Ohio,263646,270276,-0.0063,3276,80.49
87,Laredo,Texas,258306,255489,0.0027,2418,106.82
88,Port St. Lucie,Florida,257756,206815,0.052,2162,119.22
89,Glendale,Arizona,255490,248949,0.0064,3806,67.13
90,Chesapeake,Virginia,255254,249781,0.0054,754,338.46
91,Winston-Salem,North Carolina,254032,249804,0.0042,1902,133.58
92,Irving,Texas,253561,256807,-0.0032,3786,66.98
93,Scottsdale,Arizona,245231,241883,0.0034,1333,184.0
94,Garland,Texas,242523,246311,-0.0039,4265,56.86
95,Enterprise,Nevada,236331,214591,0.0235,3581,66.0
96,Arlington,Virginia,236007,236434,0.0003,9078,26.0
97,Boise,Idaho,235216,236034,-0.0009,2782,84.55
98,Cape Coral,Florida,234132,195422,0.0431,2206,106.12
99,Frisco,Texas,232424,202754,0.033,3389,68.59
100,Richmond,Virginia,230017,226936,0.0034,3838,59.92
101,Spokane,Washington,229527,229205,0.0003,3338,68.76
102,Norfolk,Virginia,228643,237789,-0.0099,4292,53.27
103,Huntsville,Alabama,228616,216407,0.0135,1022,223.63
104,Fremont,California,224800,230430,-0.0062,2878,78.1
105,San Bernardino,California,224274,222090,0.0024,3611,62.1
106,Tacoma,Washington,223968,219719,0.0048,4505,49.71
107,Spring Valley,Nevada,221531,218697,0.0032,6239,35.51
108,Santa Clarita,California,221235,232406,-0.0125,3005,73.61
109,Hialeah,Florida,220930,222408,-0.0017,10237,21.58
110,Modesto,California,218989,218691,0.0003,5051,43.36
111,McKinney,Texas,218846,197497,0.025,3268,66.96
112,Fontana,California,217561,209177,0.0097,5027,43.28
