,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
94,The Tomorrow War,4.1,33263,Prime Video,2021,PG-13,Chris McKay,"Chris Pratt,J.K. Simmons,Yvonne Strahovski",
95,No Hard Feelings,4.3,4255,Prime Video,2023,R,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",5.99
96,No Time to Die,4.5,74386,Prime Video,2021,PG-13,Cary Joji Fukunaga,"Daniel Craig,Rami Malek,Léa Seydoux,Lashana Lynch",3.99
97,The SpongeBob Movie: Sponge Out Of Water,4.5,26867,Prime Video,2015,PG,"Mike Mitchell,Paul Tibbitt",Antonio Banderas,
98,Ticket to Paradise,4.3,19087,Prime Video,2022,,Ol Parker,"George Clooney,Julia Roberts,Kaitlyn Dever",4.19
99,Shaft (2019),4.7,10840,Prime Video,2019,R,Tim Story,"Samuel L. Jackson,Jessie T. Usher,Richard Roundtree",
100,Jigsaw,4.5,9556,Prime Video,2017,R,"Michael Spierig,Peter Spierig","Hannah Anderson,Laura Vandervoort",3.99
101,You Asked to See the Monster,4.0,551,Prime Video,2023,,Thomas Leader,Gary Green,
102,Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002,PG,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
103,Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
104,Talk to Me,4.3,645,Prime Video,2023,R,"Danny Philippou,Michael Philippou",Sophie Wilde,4.99
105,Constantine,4.8,14330,Prime Video,2005,R,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Tilda Swinton",3.99
106,Blacklight,4.2,19811,Prime Video,2022,PG-13,Mark Williams,"Liam Neeson,Emmy Raver-Lampman,Taylor John Smith",3.99
107,Running with the Devil,4.1,4837,Prime Video,2019,R,Jason Cabell,"Nicolas Cage,Laurence Fishburne",
108,The Post,4.6,6840,Prime Video,2017,PG-13,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",
109,Watchmen,4.6,13866,Prime Video,2009,R,Zack Snyder,"Malin Akerman,Billy Crudup,Matthew Goode,Carla Gugino",3.79
110,Terrifier 2,4.0,4011,Prime Video,2022,R,Damien Leone,"Lauren LaVera,David Howard Thornton,Elliott Fullam",
111,The Wedding Singer,4.8,15110,Prime Video,1998,PG-13,Frank Coraci,"Adam Sandler,Drew Barrymore,Christine Taylor",3.39
112,Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
113,The Lost City,4.3,39565,Prime Video,2022,PG-13,"Adam Nee,Aaron Nee","Sandra Bullock,Channing Tatum,Daniel Radcliffe",3.89
114,Running with the Devil,4.1,4837,Prime Video,2019,R,Jason Cabell,"Nicolas Cage,Laurence Fishburne",
115,Fantastica: A Boonie Bears Adventure,4.4,117,Prime Video,2019,G,Leon Ding,"Mario Lopez,Josh Peck,Joseph S. Lambert,Gene Hobbs",
116,Howard's Mill,4.0,21,Prime Video,2021,,"Shannon Houchins,Potsy Ponciroli","Reegus Flenory,Josafina F Boneo,Jeremy Childs",0.99
117,The Nun II,4.1,115,Prime Video,2023,R,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",19.99
118,Baked With a Kiss,4.0,6,Prime Video,2023,G,Brittany Underwood,"Jonathan Stoddard,Ansley Gordon,Milly Figuereo",
119,The Jungle Bunch,4.0,96,Prime Video,2017,,David Alaux,"Keith Silverstein,Kirk Thornton,Erin Fitzgerald",
120,80 for Brady,4.3,7856,Prime Video,2023,PG-13,Kyle Marvin,"Lily Tomlin,Jane Fonda,Rita Moreno,Sally Field",5.99
121,Scream VI,4.4,3058,Prime Video,2023,R,"Matt Bettinelli-Olpin,Tyler Gillett","Melissa Barrera,Jasmin Savoy Brown,Jack Champion",5.99
122,Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002,PG,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
123,Dog,4.6,66280,Prime Video,2022,PG-13,"Channing Tatum,Reid Carolin","Channing Tatum,Jane Adams,Kevin Nash",5.99
124,Shazam!,4.5,39847,Prime Video,2019,PG-13,David Sandberg,"Zachary Levi,Asher Angel,Mark Strong",3.79
125,Pavement,4.0,40,Prime Video,2002,R,Darrell James Roodt,"Robert Patrick,Lauren Holly",
126,The Equalizer,4.8,61762,Prime Video,2014,R,Antoine Fuqua,"Denzel Washington,Marton Csokas,Chloë Grace Moretz",3.59
127,Driving Miss Daisy,4.8,7755,Prime Video,1990,PG,Bruce Beresford,"Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone",2.89
128,M3GAN (Unrated),4.2,18613,Prime Video,2023,PG-13,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
129,Saw II,4.5,3163,Prime Video,2005,R,Darren Lynn Bousman,"Donnie Wahlberg,Tobin Bell,Shawnee Smith,Franky G.",3.99
130,PAW Patrol: Mighty Pups,4.7,3636,Prime Video,2018,,Jamie Whitney,"Devan Cohen,Owen Mason,Kallan Holley,Gage Munroe",4.99
