id,viewCount,likeCount,favoriteCount,commentCount
pZBi_ADQEKg,8331,222,0,44
xzPLTF_8VeQ,6333,142,0,8
Si1OpjZn13A,12783,448,0,11
7qROaz2LFeM,4241,97,0,17
NoaL3Jk34GU,81031,2820,0,158
wqRIAN3OGc4,74198,2204,0,162
VMw78demouo,2573577,2388,0,147
d2mglI29Wrk,185397,4300,0,272
tya_FyVflQc,1068221,22334,0,752
vIpzHho_o-A,191633,4754,0,239
_xm3dULDGsE,7925192,86251,0,6283
J2fJoMtqJNI,14132,191,0,21
6UV-u_vS-y0,1400056,20194,0,2155
N81-hgLlzj4,143714,3621,0,278
b0AiAGT0aOo,50155,1239,0,67
ZK2gmPm8Uw0,100603,2519,0,128
zs6XLkpsfMw,439337,6188,0,185
TrT5MQ2eEs8,29536,787,0,64
I-Ow5CQukcM,2014324,138428,0,6112
UVpivF1tU2c,126842,3621,0,144
TWYnU4QDdhQ,8638,168,0,25
t2K4RA8plxU,57462,1419,0,124
ZwPzrq2AQcw,193699,4073,0,59
mnF4zE5aOYw,55205,2215,0,48
_5YP77XwrhE,70835,2242,0,139
YXyz8UdKwvM,13608,632,0,21
FV47Vy__riQ,40937,396,0,32
LfLPkLT-SfE,2967400,6161,0,254
owHaAwpJ2pk,17700,414,0,96
6LMvbnhldUU,6885,167,0,22
0DVxTdL0ExQ,5219,154,0,24
0xKjcVcWJrI,15719,331,0,16
t4LCIUOylJU,11839,342,0,26
sHek6Rc-gbc,64656,2127,0,167
g9mrQ4t_1BI,57567,1718,0,141
202zsdj1YaY,15433,353,0,61
eaeKBzMBWlk,31204,558,0,87
4f5ZqgJ-HSQ,13903193,52631,0,11632
0gLkekNIR7E,50723,1460,0,142
cbgS7V1Xwq4,7263,130,0,14
uu2Xu4mgLvw,16865,274,0,12
_Wp_sOZFzYQ,4104,76,0,4
_KvITMkgVkU,15002,372,0,26
1wgf2U4EFJw,15452,185,0,7
yGZ2fzcGECg,6865,144,0,4
21S3gnZHlBM,22352,431,0,18
j5RxviLDvLc,4435,129,0,8
WimOfW-rZ_4,2165200,65171,0,1922
SAANiNDT160,123919,4320,0,49
2lhff5ve86g,22378,554,0,52
DZvBsxpspM0,20775,479,0,103
W3bX9vNjxcc,16608,400,0,67
iYo9EkhHoFg,354339,9864,0,402
UbNvGB39W5M,96896,3478,0,242
8M1wBSEkf0M,1271876,13357,0,406
22LEWK51Uhc,215186,5698,0,206
49C0VdVMTXY,901747,22689,0,800
PSUJfE7Zt2g,5083532,8563,0,488
ywngLeqUqHs,16136,293,0,39
UZzN4yG8844,17695,364,0,54
r2NWoY9FABc,12573,343,0,33
gd4ntj3Mu0o,15896,292,0,22
zry6-LqsnbA,14628,374,0,19
5cneVRR3dt0,18819,394,0,34
9vOSyoq32fg,14633,633,0,82
n3sf32-I9q4,226729,6414,0,399
WXBvrt9GV9U,1338751,25955,0,2273
SJPazDkddWw,74493,3471,0,341
-O1A7vE0aBI,27898,1111,0,129
uPlzXBfRhHg,26393,555,0,62
bFvzAzqhhYc,21751514,270271,0,25349
bzBE0vKiDqM,28534,3262,0,146
hDqSpbuwZ1U,44129,1045,0,106
2AuyN_rLQ7Q,54687,1292,0,125
HFbjqdnI8QA,10020,346,0,71
3lqTW5M25Fw,862952,15123,0,537
93vBks6Wdkk,67430,3276,0,50
AvHEFUBOXXM,3519249,101857,0,342
iucnfl7CBPQ,23952,580,0,103
KLOnbzX2cr4,92659,2716,0,207
L0czxm80mLI,235368,7309,0,128
Uthyy6S3Cuk,20632,580,0,69
eF-VkXCkxqA,180261,5370,0,307
S1ef3MGUgOU,40312,679,0,78
QdfxyvBv8ks,75656,1614,0,83
-YTt4x1wDfg,81425,2722,0,297
rzw5p2lE06c,72347,2106,0,178
6WXBVrB7cbA,10899,280,0,51
QPO0TmyHhAY,195534,4482,0,176
RbF-Ess_bUw,332700,10013,0,445
9SAzORQpDAA,40465,829,0,128
AVAAh8auqDg,251092,12846,0,886
0AMofIw164o,16435,359,0,64
OgrX1uWaDbE,266531,6846,0,272
w2WdQE6ghOM,227158,5002,0,209
pUQXU3F-vxc,998827,14766,0,409
rniqGTMVXW0,85284,1864,0,120
NnD53y0xRCw,216986,7373,0,132
0e2kjdQNyNY,27357,1284,0,143
dLBtVeubU1Q,7442531,123607,0,1070
